Headlines,Time,Description,combined_text,clean_text
Cramer's lightning round: BlackRock is a buy," 8:00  PM ET Wed,  1 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning round: BlackRock is a buy  8:00  PM ET Wed,  1 July 2020 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning round blackrock buy pm et wed july mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
,,,  ,
"The S&P 500 'could get ugly' in the near future, Jim Cramer warns"," 7:13  PM ET Wed,  1 July 2020","The S&P 500 could be riding into a ""make-or-break moment"" in the short term, the ""Mad Money"" host said.","The S&P 500 'could get ugly' in the near future, Jim Cramer warns  7:13  PM ET Wed,  1 July 2020 The S&P 500 could be riding into a ""make-or-break moment"" in the short term, the ""Mad Money"" host said.",p could get ugly near future jim cramer warns pm et wed july p could riding make break moment short term mad money host said
Conagra CEO on revamping Mrs. Butterworth's brand: 'Perception is reality'," 8:00  PM ET Tue, 30 June 2020","""Mrs. Butterworth's was really architected to resemble a loving grandmother, but we can understand how some people may view it differently, may find it offensive,"" Conagra CEO Sean Connolly said.","Conagra CEO on revamping Mrs. Butterworth's brand: 'Perception is reality'  8:00  PM ET Tue, 30 June 2020 ""Mrs. Butterworth's was really architected to resemble a loving grandmother, but we can understand how some people may view it differently, may find it offensive,"" Conagra CEO Sean Connolly said.",conagra ceo revamping mrs butterworth brand perception reality pm et tue june mrs butterworth really architected resemble loving grandmother understand people may view differently may find offensive conagra ceo sean connolly said
Cramer's lightning round: Nokia has 'good things coming'," 7:33  PM ET Tue, 30 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning round: Nokia has 'good things coming'  7:33  PM ET Tue, 30 June 2020 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning round nokia good things coming pm et tue june mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
Jim Cramer breaks down his favorite stocks from a record second quarter," 7:28  PM ET Tue, 30 June 2020","The best stocks of the second quarter were the ones with ""a lot of ingenuity and a lot more good luck,"" the ""Mad Money"" host said.","Jim Cramer breaks down his favorite stocks from a record second quarter  7:28  PM ET Tue, 30 June 2020 The best stocks of the second quarter were the ones with ""a lot of ingenuity and a lot more good luck,"" the ""Mad Money"" host said.",jim cramer breaks favorite stocks record second quarter pm et tue june best stocks second quarter ones lot ingenuity lot good luck mad money host said
Jim Cramer: We saw a lot of 'encouraging signs' in Monday's session," 7:41  PM ET Mon, 29 June 2020","""We had a lot of encouraging signs today, but keep in mind that this market loves veering from one extreme to the other,"" Cramer said.","Jim Cramer: We saw a lot of 'encouraging signs' in Monday's session  7:41  PM ET Mon, 29 June 2020 ""We had a lot of encouraging signs today, but keep in mind that this market loves veering from one extreme to the other,"" Cramer said.",jim cramer saw lot encouraging signs monday session pm et mon june lot encouraging signs today keep mind market loves veering one extreme cramer said
Cramer's lightning round: James Taiclet will make Lockheed Martin some money," 7:14  PM ET Mon, 29 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning round: James Taiclet will make Lockheed Martin some money  7:14  PM ET Mon, 29 June 2020 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning round james taiclet make lockheed martin money pm et mon june mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
Restaurant Brands CEO: Popeyes' chicken sandwich has had an unprecedented impact on business," 7:02  PM ET Mon, 29 June 2020","Popeyes' viral chicken sandwich brought in new customers who are ""now experimenting and exploring the entire menu,"" Restaurant Brands CEO Jose Cil said.","Restaurant Brands CEO: Popeyes' chicken sandwich has had an unprecedented impact on business  7:02  PM ET Mon, 29 June 2020 Popeyes' viral chicken sandwich brought in new customers who are ""now experimenting and exploring the entire menu,"" Restaurant Brands CEO Jose Cil said.",restaurant brands ceo popeyes chicken sandwich unprecedented impact business pm et mon june popeyes viral chicken sandwich brought new customers experimenting exploring entire menu restaurant brands ceo jose cil said
"Cramer adds new stocks, recommends buying 12 laggards in his Covid-19 index"," 7:01  PM ET Mon, 29 June 2020","""When you look at the biggest winners in the index, they're overwhelmingly tech companies that help facilitate the stay-at-home economy, and a lot of these got hit today,"" the ""Mad Money"" host said.","Cramer adds new stocks, recommends buying 12 laggards in his Covid-19 index  7:01  PM ET Mon, 29 June 2020 ""When you look at the biggest winners in the index, they're overwhelmingly tech companies that help facilitate the stay-at-home economy, and a lot of these got hit today,"" the ""Mad Money"" host said.",cramer adds new stocks recommends buying laggards covid index pm et mon june look biggest winners index overwhelmingly tech companies help facilitate stay home economy lot got hit today mad money host said
Marc Benioff says 35 states are now using Salesforce's contact tracing technology for coronavirus," 7:36  PM ET Thu, 25 June 2020","""This is a time where every company needs to reassess its relevance to maintain its market share and innovation,"" Salesforce CEO Marc Benioff said in a ""Mad Money"" interview.","Marc Benioff says 35 states are now using Salesforce's contact tracing technology for coronavirus  7:36  PM ET Thu, 25 June 2020 ""This is a time where every company needs to reassess its relevance to maintain its market share and innovation,"" Salesforce CEO Marc Benioff said in a ""Mad Money"" interview.",marc benioff says states using salesforce contact tracing technology coronavirus pm et thu june time every company needs reassess relevance maintain market share innovation salesforce ceo marc benioff said mad money interview
Cramer's lightning round: Stay in Yeti," 7:31  PM ET Thu, 25 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning round: Stay in Yeti  7:31  PM ET Thu, 25 June 2020 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning round stay yeti pm et thu june mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
"The stay-at-home stocks surged as Texas paused reopening, Jim Cramer says"," 7:02  PM ET Thu, 25 June 2020","After Texas put a pause on its reopening, ""many of today's winners were the usual suspects that benefit from the pandemic,"" the ""Mad Money"" host said.","The stay-at-home stocks surged as Texas paused reopening, Jim Cramer says  7:02  PM ET Thu, 25 June 2020 After Texas put a pause on its reopening, ""many of today's winners were the usual suspects that benefit from the pandemic,"" the ""Mad Money"" host said.",stay home stocks surged texas paused reopening jim cramer says pm et thu june texas put pause reopening many today winners usual suspects benefit pandemic mad money host said
"The Awaken America trade has taken a turn for the worse, Jim Cramer warns"," 9:02  PM ET Wed, 24 June 2020","""I want you to raise a little cash so you can put it to work buying stocks at lower levels,"" the ""Mad Money"" host advised after a brutal sell-off on Wall Street.","The Awaken America trade has taken a turn for the worse, Jim Cramer warns  9:02  PM ET Wed, 24 June 2020 ""I want you to raise a little cash so you can put it to work buying stocks at lower levels,"" the ""Mad Money"" host advised after a brutal sell-off on Wall Street.",awaken america trade taken turn worse jim cramer warns pm et wed june want raise little cash put work buying stocks lower levels mad money host advised brutal sell wall street
Cramer's lightning round: Buy Ulta Beauty," 7:36  PM ET Wed, 24 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning round: Buy Ulta Beauty  7:36  PM ET Wed, 24 June 2020 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning round buy ulta beauty pm et wed june mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
Rhode Island governor mulls restrictions on travelers from coronavirus hotspot states," 6:59  PM ET Wed, 24 June 2020",Rhode Island Gov. Gina Raimondo said she is considering new mitigation actions after neighboring states announced a quarantine for some inbound travelers.,"Rhode Island governor mulls restrictions on travelers from coronavirus hotspot states  6:59  PM ET Wed, 24 June 2020 Rhode Island Gov. Gina Raimondo said she is considering new mitigation actions after neighboring states announced a quarantine for some inbound travelers.",rhode island governor mulls restrictions travelers coronavirus hotspot states pm et wed june rhode island gov gina raimondo said considering new mitigation actions neighboring states announced quarantine inbound travelers
,,,  ,
"Albertsons stock is worth buying at $25 after it IPOs, Jim Cramer says","10:30  AM ET Fri, 26 June 2020","""It's definitely not best of breed, but it's not garbage either,"" the ""Mad Money"" host said.","Albertsons stock is worth buying at $25 after it IPOs, Jim Cramer says 10:30  AM ET Fri, 26 June 2020 ""It's definitely not best of breed, but it's not garbage either,"" the ""Mad Money"" host said.",albertsons stock worth buying ipos jim cramer says et fri june definitely best breed garbage either mad money host said
"The U.S. recovery might not be V-shaped, but 'more like a square-root sign': Blackstone"," 5:12  AM ET Wed, 24 June 2020","Byron Wien, vice chairman at Private Wealth Solutions Group at Blackstone, weighs in on the shape of the economic recovery.","The U.S. recovery might not be V-shaped, but 'more like a square-root sign': Blackstone  5:12  AM ET Wed, 24 June 2020 Byron Wien, vice chairman at Private Wealth Solutions Group at Blackstone, weighs in on the shape of the economic recovery.",u recovery might v shaped like square root sign blackstone et wed june byron wien vice chairman private wealth solutions group blackstone weighs shape economic recovery
We expect a U-shaped economic recovery: Strategist,"10:09  PM ET Tue, 23 June 2020","Erik Knutzen of Neuberger Berman says he's cautious about the trajectory of the market and economic recoveries, and explains why his base case scenario is for U.S. GDP to contract 6% this year.","We expect a U-shaped economic recovery: Strategist 10:09  PM ET Tue, 23 June 2020 Erik Knutzen of Neuberger Berman says he's cautious about the trajectory of the market and economic recoveries, and explains why his base case scenario is for U.S. GDP to contract 6% this year.",expect u shaped economic recovery strategist pm et tue june erik knutzen neuberger berman says cautious trajectory market economic recoveries explains base case scenario u gdp contract year
Jim Cramer says playing Larry Williams' Fourth of July trade 'makes a lot of sense'," 8:08  PM ET Tue, 23 June 2020","""If you want a short-term trade with a terrific track record, [Larry] Williams says you should buy the S&P two days before July 4,"" the ""Mad Money"" host said.","Jim Cramer says playing Larry Williams' Fourth of July trade 'makes a lot of sense'  8:08  PM ET Tue, 23 June 2020 ""If you want a short-term trade with a terrific track record, [Larry] Williams says you should buy the S&P two days before July 4,"" the ""Mad Money"" host said.",jim cramer says playing larry williams fourth july trade makes lot sense pm et tue june want short term trade terrific track record larry williams says buy p two days july mad money host said
Cramer's lightning round: Two thumbs up for AstraZeneca," 7:13  PM ET Tue, 23 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning round: Two thumbs up for AstraZeneca  7:13  PM ET Tue, 23 June 2020 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning round two thumbs astrazeneca pm et tue june mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
Impossible Foods CEO says the meat industry will be obsolete in 15 years — 'That's our mission',"10:40  PM ET Tue, 23 June 2020","""That transformation is inevitable,"" Impossible Foods founder and CEO Patrick Brown said after Starbucks launched the Impossible Breakfast Sandwich.","Impossible Foods CEO says the meat industry will be obsolete in 15 years — 'That's our mission' 10:40  PM ET Tue, 23 June 2020 ""That transformation is inevitable,"" Impossible Foods founder and CEO Patrick Brown said after Starbucks launched the Impossible Breakfast Sandwich.",impossible foods ceo says meat industry obsolete years mission pm et tue june transformation inevitable impossible foods founder ceo patrick brown said starbucks launched impossible breakfast sandwich
,,,  ,
"Spotify's story is starting to mirror Netflix's, Jim Cramer says"," 8:29  PM ET Mon, 22 June 2020","Wall Street has finally bought into Spotify's podcasting strategy and ""what matters here is subscriber growth,"" the ""Mad Money"" host said.","Spotify's story is starting to mirror Netflix's, Jim Cramer says  8:29  PM ET Mon, 22 June 2020 Wall Street has finally bought into Spotify's podcasting strategy and ""what matters here is subscriber growth,"" the ""Mad Money"" host said.",spotify story starting mirror netflix jim cramer says pm et mon june wall street finally bought spotify podcasting strategy matters subscriber growth mad money host said
"Recession and recovery stocks are working, but the trend is not sustainable, Jim Cramer says"," 8:24  PM ET Mon, 22 June 2020","""This was a day when both the recession stocks and the recovery stocks worked"" and ""someone, one of these two groups, has to be wrong,"" sooner or later, the ""Mad Money"" host said.","Recession and recovery stocks are working, but the trend is not sustainable, Jim Cramer says  8:24  PM ET Mon, 22 June 2020 ""This was a day when both the recession stocks and the recovery stocks worked"" and ""someone, one of these two groups, has to be wrong,"" sooner or later, the ""Mad Money"" host said.",recession recovery stocks working trend sustainable jim cramer says pm et mon june day recession stocks recovery stocks worked someone one two groups wrong sooner later mad money host said
Barstool's Dave Portnoy says he'll focus on sports betting when sports return," 7:06  PM ET Mon, 22 June 2020","""I'm enjoying the stock stuff ... It's been fun ... but I'm a sports guy. I'm a sports better,"" Barstool Sports founder Dave Portnoy said after jumping into day trading.","Barstool's Dave Portnoy says he'll focus on sports betting when sports return  7:06  PM ET Mon, 22 June 2020 ""I'm enjoying the stock stuff ... It's been fun ... but I'm a sports guy. I'm a sports better,"" Barstool Sports founder Dave Portnoy said after jumping into day trading.",barstool dave portnoy says focus sports betting sports return pm et mon june enjoying stock stuff fun sports guy sports better barstool sports founder dave portnoy said jumping day trading
